subset_size,cardio_feature_count,log_loss,roc_auc,brier_score,accuracy,delta_log_loss_vs_previous_best,delta_log_loss_vs_full_cardio,cardio_features
3,3,0.6531771266184075,0.6344668162344411,0.2309197013408349,0.6061674008810573,0.00020966451742843173,-0.0007161899536975991,"diff_avg_fight_duration_seconds, diff_decision_rate, pre_fight_blue_late_finish_rate"
3,3,0.653177786130268,0.6355758993079321,0.23088630358250123,0.6123348017621145,0.00020900500556797486,-0.000716849465558056,"diff_avg_fight_duration_seconds, diff_third_round_or_later_rate, diff_five_round_fights_completed"
4,4,0.6531874691348749,0.6364853474281948,0.2308854099332028,0.6114537444933921,0.00019932200096106634,-0.0007265324701649645,"diff_third_round_or_later_rate, pre_fight_blue_late_finish_rate, diff_five_round_experience, diff_five_round_fights_completed"
4,4,0.653245238746635,0.6368560980556188,0.23090769855211088,0.6140969162995594,0.000141552389200994,-0.0007843020819250368,"diff_avg_fight_duration_seconds, pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate, diff_five_round_fights_completed"
3,3,0.6532505894829469,0.6360607270514869,0.23090909417652136,0.6140969162995594,0.0001362016528890786,-0.0007896528182369522,"diff_third_round_or_later_rate, pre_fight_blue_late_finish_rate, diff_five_round_fights_completed"
4,4,0.6532537542025617,0.6368180723502421,0.2309223034115311,0.6096916299559472,0.00013303693327426647,-0.0007928175378517643,"diff_avg_fight_duration_seconds, pre_fight_red_late_finish_rate, diff_five_round_experience, diff_five_round_fights_completed"
4,4,0.6532796145036872,0.6349896696833727,0.23093867118693817,0.6105726872246696,0.00010717663214876438,-0.0008186778389772664,"diff_avg_fight_duration_seconds, diff_decision_rate, diff_third_round_or_later_rate, diff_five_round_fights_completed"
3,3,0.6532808881765645,0.6366216062057952,0.23093049545693953,0.6158590308370044,0.00010590295927148663,-0.0008199515118545442,"diff_avg_fight_duration_seconds, pre_fight_red_late_finish_rate, diff_five_round_fights_completed"
2,2,0.6532951239036644,0.6341245848860496,0.23097616178692582,0.6088105726872247,9.166723217157724e-05,-0.0008341872389544536,"diff_avg_fight_duration_seconds, diff_decision_rate"
3,3,0.6533097782221879,0.6342101427231475,0.23097471994966715,0.6079295154185022,7.701291364803353e-05,-0.0008488415574779973,"diff_decision_rate, pre_fight_blue_late_finish_rate, diff_five_round_experience"
