fold_id,calibration_year,test_year,model_name,rows,log_loss,roc_auc,brier_score,accuracy,precision,recall,f1
8,2019,2020,rf_sigmoid_market_blend,409,0.6141548297623342,0.7003462743908604,0.2124829778554066,0.6674816625916871,0.7101449275362319,0.7777777777777778,0.7424242424242424
8,2019,2020,rf_isotonic_market_blend,409,0.6158093128007808,0.702115559599636,0.21314199135213388,0.6748166259168704,0.7195571955719557,0.7738095238095238,0.745697896749522
8,2019,2020,rf_sigmoid,409,0.6526881452797462,0.6225609139621878,0.23018954919241696,0.6503667481662592,0.6626865671641791,0.8809523809523809,0.7563884156729132
8,2019,2020,rf_isotonic,409,0.6551632662844626,0.6198690728945506,0.2314646723460162,0.58679706601467,0.6985645933014354,0.5793650793650794,0.6334056399132321
8,2019,2020,rf_raw,409,0.660924040787397,0.6225609139621878,0.23411963438925265,0.6112469437652812,0.691358024691358,0.6666666666666666,0.6787878787878788
9,2020,2021,rf_isotonic_market_blend,398,0.6412986966347546,0.6748853211009175,0.22517213436156908,0.6608040201005025,0.6509090909090909,0.8211009174311926,0.7261663286004056
9,2020,2021,rf_sigmoid_market_blend,398,0.6427977481383277,0.6687054026503567,0.22597368991405972,0.6256281407035176,0.6408163265306123,0.7201834862385321,0.6781857451403888
9,2020,2021,market_novig,398,0.6442782568769092,0.6660423037716615,0.22674015127650152,0.6206030150753769,0.6413502109704642,0.6972477064220184,0.6681318681318681
9,2020,2021,rf_raw_market_blend,398,0.6442782568769092,0.6660423037716615,0.22674015127650152,0.6206030150753769,0.6413502109704642,0.6972477064220184,0.6681318681318681
9,2020,2021,rf_raw,398,0.6628144321889899,0.627191641182467,0.23529767772361193,0.6055276381909548,0.6367713004484304,0.6513761467889908,0.6439909297052154
9,2020,2021,rf_sigmoid,398,0.669717718410472,0.627191641182467,0.23855904675295617,0.592964824120603,0.5795454545454546,0.9357798165137615,0.7157894736842105
9,2020,2021,rf_isotonic,398,0.7009223957941658,0.6287461773700306,0.2401176621192254,0.592964824120603,0.5952380952380952,0.8027522935779816,0.68359375
10,2021,2022,market_novig,293,0.5975001500538312,0.7336202773792444,0.20565056512398247,0.689419795221843,0.7365269461077845,0.7235294117647059,0.7299703264094956
10,2021,2022,rf_raw_market_blend,293,0.6030276815265535,0.7357723577235772,0.20750108937787837,0.6860068259385665,0.7349397590361446,0.7176470588235294,0.7261904761904762
10,2021,2022,rf_sigmoid_market_blend,293,0.6052426010693591,0.7348637015781923,0.20829112043155124,0.6962457337883959,0.7368421052631579,0.7411764705882353,0.7390029325513197
10,2021,2022,rf_isotonic_market_blend,293,0.613949615902917,0.7250836920133907,0.21224425234383926,0.6791808873720137,0.7134831460674157,0.7470588235294118,0.7298850574712644
10,2021,2022,rf_sigmoid,293,0.648957515107499,0.6503108560497368,0.22875829944096135,0.6006825938566553,0.6514285714285715,0.6705882352941176,0.6608695652173913
10,2021,2022,rf_raw,293,0.65496567736979,0.6503108560497368,0.23155038061825853,0.6279863481228669,0.7019867549668874,0.6235294117647059,0.660436137071651
10,2021,2022,rf_isotonic,293,0.6933632429651597,0.6396700143472023,0.2317035067600444,0.6040955631399317,0.7014925373134329,0.5529411764705883,0.618421052631579
11,2022,2023,market_novig,160,0.6265455482697035,0.6974492205951819,0.21849330611870982,0.6625,0.6774193548387096,0.7241379310344828,0.7
11,2022,2023,rf_raw_market_blend,160,0.6265455482697035,0.6974492205951819,0.21849330611870982,0.6625,0.6774193548387096,0.7241379310344828,0.7
11,2022,2023,rf_sigmoid_market_blend,160,0.6265455482697035,0.6974492205951819,0.21849330611870982,0.6625,0.6774193548387096,0.7241379310344828,0.7
11,2022,2023,rf_isotonic_market_blend,160,0.6324167271069149,0.697291765076366,0.22057290035991675,0.66875,0.67,0.7701149425287356,0.7165775401069518
11,2022,2023,rf_raw,160,0.6648143610643615,0.6424185167690127,0.23589020668639388,0.625,0.6421052631578947,0.7011494252873564,0.6703296703296703
11,2022,2023,rf_sigmoid,160,0.6700983750497608,0.6424185167690127,0.23852682619507445,0.56875,0.5725806451612904,0.8160919540229885,0.6729857819905213
11,2022,2023,rf_isotonic,160,0.7556016972585688,0.620217288615966,0.24591651749571888,0.55,0.5547445255474452,0.8735632183908046,0.6785714285714286
